route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"106",1522_PO,1522_7255,"Skotniki Szkoła",,0,PO_106-01_22,900874,0,0
"106",1523_PO,1523_7861,"Skotniki Szkoła",,0,PO_106-01_22,902132,0,0
"106",1522_PO,1522_7262,"Łagiewniki",,1,PO_106-01_23,900873,0,0
"106",1523_PO,1523_7865,"Łagiewniki",,1,PO_106-01_23,902131,0,0
"106",1522_PO,1522_7264,"Skotniki Szkoła",,0,PO_106-01_24,900874,0,0
"106",1523_PO,1523_7869,"Skotniki Szkoła",,0,PO_106-01_24,902132,0,0
"106",1522_PO,1522_7268,"Łagiewniki",,1,PO_106-01_25,900873,0,0
"106",1523_PO,1523_7873,"Łagiewniki",,1,PO_106-01_25,902131,0,0
"106",1522_PO,1522_7272,"Skotniki Szkoła",,0,PO_106-01_26,900874,0,0
"106",1523_PO,1523_7877,"Skotniki Szkoła",,0,PO_106-01_26,902132,0,0
"106",1522_PO,1522_7275,"Łagiewniki",,1,PO_106-01_27,900873,0,0
"106",1523_PO,1523_7881,"Łagiewniki",,1,PO_106-01_27,902131,0,0
"106",1522_PO,1522_7279,"Skotniki Szkoła",,0,PO_106-01_28,900874,0,0
"106",1523_PO,1523_7885,"Skotniki Szkoła",,0,PO_106-01_28,902132,0,0
"106",1522_PO,1522_7283,"Łagiewniki",,1,PO_106-01_29,900873,0,0
"106",1523_PO,1523_7889,"Łagiewniki",,1,PO_106-01_29,902131,0,0
"106",1522_PO,1522_7287,"Skotniki Szkoła",,0,PO_106-01_30,900874,0,0
